sig_start,A,B,C,D,E,mSD
2013-05-30 18:21:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:22:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:23:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:24:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:25:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:26:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:27:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:28:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:29:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:30:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:31:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:32:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:33:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:34:25,ctrl,ctrl,depr,ctrl,ctrl,notSD
2013-05-30 18:35:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:36:25,depr,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:37:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:38:25,depr,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:39:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:40:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:41:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:42:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:43:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:44:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:45:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:46:25,depr,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:47:25,depr,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:48:25,depr,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:49:25,depr,depr,ctrl,ctrl,ctrl,notSD
2013-05-30 18:50:25,depr,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:51:25,depr,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:52:25,depr,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:53:25,depr,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:54:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:55:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:56:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:57:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:58:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 18:59:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 19:00:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 19:01:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 19:02:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 19:03:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 19:04:25,ctrl,ctrl,ctrl,depr,ctrl,notSD
2013-05-30 19:05:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 19:06:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 19:07:25,depr,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 19:08:25,depr,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 19:09:25,depr,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 19:10:25,depr,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 19:11:25,depr,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 19:12:25,depr,ctrl,ctrl,depr,ctrl,notSD
2013-05-30 19:13:25,ctrl,depr,ctrl,ctrl,ctrl,notSD
2013-05-30 19:14:25,ctrl,depr,depr,depr,ctrl,notSD
2013-05-30 19:15:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 19:16:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 19:17:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 19:18:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 19:19:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 19:20:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 19:21:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 19:22:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 19:23:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 19:24:25,ctrl,ctrl,depr,ctrl,ctrl,notSD
2013-05-30 19:25:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 19:26:25,ctrl,ctrl,ctrl,depr,ctrl,notSD
2013-05-30 19:27:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 19:28:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 19:29:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 19:30:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 19:31:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 19:32:25,depr,depr,ctrl,ctrl,ctrl,notSD
2013-05-30 19:33:25,ctrl,depr,ctrl,ctrl,ctrl,notSD
2013-05-30 19:34:25,ctrl,depr,ctrl,ctrl,ctrl,notSD
2013-05-30 19:35:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 19:36:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 19:37:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 19:38:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 19:39:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 19:40:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 19:41:25,ctrl,ctrl,ctrl,ctrl,ctrl,SD
