sig_start,A,B,C,D,E,mSD
2013-05-30 19:42:25,ctrl,ctrl,depr,depr,ctrl,SD
2013-05-30 19:43:25,ctrl,ctrl,depr,depr,ctrl,SD
2013-05-30 19:44:25,ctrl,ctrl,depr,depr,ctrl,SD
2013-05-30 19:45:25,ctrl,ctrl,depr,depr,ctrl,SD
2013-05-30 19:46:25,ctrl,ctrl,depr,depr,ctrl,SD
2013-05-30 19:47:25,ctrl,depr,depr,depr,ctrl,SD
2013-05-30 19:48:25,ctrl,depr,depr,depr,ctrl,SD
2013-05-30 19:49:25,ctrl,depr,depr,ctrl,ctrl,SD
2013-05-30 19:50:25,ctrl,depr,depr,ctrl,ctrl,SD
2013-05-30 19:51:25,ctrl,depr,depr,depr,ctrl,SD
2013-05-30 19:52:25,ctrl,depr,depr,ctrl,ctrl,SD
2013-05-30 19:53:25,ctrl,depr,ctrl,ctrl,ctrl,SD
2013-05-30 19:54:25,ctrl,depr,ctrl,ctrl,depr,SD
2013-05-30 19:55:25,ctrl,depr,ctrl,depr,depr,SD
2013-05-30 19:56:25,ctrl,ctrl,ctrl,depr,depr,SD
2013-05-30 19:57:25,ctrl,ctrl,ctrl,ctrl,depr,SD
2013-05-30 19:58:25,ctrl,ctrl,ctrl,ctrl,depr,SD
2013-05-30 19:59:25,ctrl,ctrl,ctrl,ctrl,depr,notSD
2013-05-30 20:00:25,ctrl,ctrl,ctrl,ctrl,depr,notSD
2013-05-30 20:01:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:02:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:03:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:04:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:05:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:06:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:07:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:08:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:09:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:10:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:11:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:12:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:13:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:14:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:15:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:16:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:17:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:18:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:19:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:20:25,ctrl,depr,ctrl,ctrl,ctrl,notSD
2013-05-30 20:21:25,ctrl,depr,ctrl,ctrl,ctrl,notSD
2013-05-30 20:22:25,ctrl,depr,ctrl,ctrl,ctrl,notSD
2013-05-30 20:23:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:24:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:25:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:26:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:27:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:28:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:29:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:30:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:31:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:32:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:33:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:34:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:35:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:36:25,ctrl,depr,ctrl,ctrl,ctrl,notSD
2013-05-30 20:37:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:38:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:39:25,ctrl,depr,ctrl,ctrl,ctrl,notSD
2013-05-30 20:40:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:41:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:42:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:43:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:44:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:45:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:46:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:47:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:48:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:49:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:50:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:51:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:52:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 20:53:25,ctrl,ctrl,ctrl,ctrl,ctrl,SD
2013-05-30 20:54:25,ctrl,ctrl,ctrl,ctrl,ctrl,SD
2013-05-30 20:55:25,ctrl,ctrl,ctrl,ctrl,ctrl,SD
2013-05-30 20:56:25,ctrl,ctrl,ctrl,ctrl,ctrl,SD
2013-05-30 20:57:25,ctrl,ctrl,depr,depr,ctrl,SD
2013-05-30 20:58:25,ctrl,ctrl,depr,depr,ctrl,SD
2013-05-30 20:59:25,ctrl,ctrl,depr,depr,ctrl,SD
2013-05-30 21:00:25,ctrl,ctrl,depr,depr,ctrl,SD
2013-05-30 21:01:25,ctrl,ctrl,depr,depr,ctrl,SD
2013-05-30 21:02:25,ctrl,depr,depr,depr,ctrl,SD
2013-05-30 21:03:25,ctrl,depr,depr,depr,ctrl,SD
2013-05-30 21:04:25,ctrl,depr,depr,depr,ctrl,SD
2013-05-30 21:05:25,ctrl,depr,depr,ctrl,ctrl,SD
2013-05-30 21:06:25,ctrl,depr,depr,ctrl,ctrl,SD
2013-05-30 21:07:25,ctrl,depr,ctrl,ctrl,ctrl,SD
2013-05-30 21:08:25,ctrl,depr,ctrl,ctrl,ctrl,SD
2013-05-30 21:09:25,ctrl,depr,ctrl,ctrl,ctrl,SD
2013-05-30 21:10:25,ctrl,ctrl,ctrl,ctrl,depr,SD
2013-05-30 21:11:25,ctrl,ctrl,ctrl,ctrl,depr,SD
2013-05-30 21:12:25,ctrl,depr,ctrl,ctrl,depr,SD
2013-05-30 21:13:25,ctrl,ctrl,ctrl,ctrl,depr,SD
2013-05-30 21:14:25,ctrl,ctrl,ctrl,ctrl,depr,SD
2013-05-30 21:15:25,ctrl,ctrl,ctrl,ctrl,depr,SD
2013-05-30 21:16:25,ctrl,ctrl,ctrl,ctrl,depr,notSD
2013-05-30 21:17:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 21:18:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 21:19:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 21:20:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 21:21:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 21:22:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 21:23:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 21:24:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 21:25:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 21:26:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 21:27:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 21:28:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 21:29:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 21:30:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 21:31:25,ctrl,depr,depr,ctrl,ctrl,notSD
2013-05-30 21:32:25,ctrl,ctrl,depr,depr,ctrl,notSD
2013-05-30 21:33:25,ctrl,ctrl,depr,depr,ctrl,notSD
2013-05-30 21:34:25,depr,ctrl,depr,depr,ctrl,notSD
2013-05-30 21:35:25,depr,ctrl,depr,depr,ctrl,notSD
2013-05-30 21:36:25,depr,ctrl,depr,depr,ctrl,notSD
2013-05-30 21:37:25,depr,ctrl,depr,depr,ctrl,notSD
2013-05-30 21:38:25,depr,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 21:39:25,depr,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 21:40:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 21:41:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 21:42:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 21:43:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 21:44:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 21:45:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 21:46:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 21:47:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 21:48:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 21:49:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 21:50:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 21:51:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 21:52:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 21:53:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 21:54:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 21:55:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 21:56:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 21:57:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 21:58:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 21:59:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:00:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:01:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:02:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:03:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:04:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:05:25,ctrl,ctrl,ctrl,depr,ctrl,notSD
2013-05-30 22:06:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:07:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:08:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:09:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:10:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:11:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:12:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:13:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:14:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:15:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:16:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:17:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:18:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:19:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:20:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:21:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:22:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:23:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:24:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:25:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:26:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:27:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:28:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:29:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:30:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:31:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:32:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:33:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:34:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:35:25,depr,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:36:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:37:25,depr,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:38:25,depr,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:39:25,depr,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:40:25,depr,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:41:25,depr,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:42:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:43:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:44:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:45:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:46:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:47:25,ctrl,ctrl,ctrl,ctrl,depr,notSD
2013-05-30 22:48:25,ctrl,ctrl,ctrl,ctrl,depr,notSD
2013-05-30 22:49:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:50:25,depr,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:51:25,depr,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:52:25,depr,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:53:25,depr,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:54:25,depr,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:55:25,depr,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:56:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:57:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:58:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 22:59:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:00:25,depr,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:01:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:02:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:03:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:04:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:05:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:06:25,ctrl,depr,ctrl,ctrl,ctrl,notSD
2013-05-30 23:07:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:08:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:09:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:10:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:11:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:12:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:13:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:14:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:15:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:16:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:17:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:18:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:19:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:20:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:21:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:22:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:23:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:24:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:25:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:26:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:27:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:28:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:29:25,ctrl,depr,ctrl,depr,depr,notSD
2013-05-30 23:30:25,ctrl,ctrl,ctrl,depr,depr,notSD
2013-05-30 23:31:25,ctrl,ctrl,ctrl,depr,depr,notSD
2013-05-30 23:32:25,depr,ctrl,ctrl,depr,depr,notSD
2013-05-30 23:33:25,depr,ctrl,ctrl,depr,ctrl,notSD
2013-05-30 23:34:25,ctrl,ctrl,ctrl,depr,ctrl,notSD
2013-05-30 23:35:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:36:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:37:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:38:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:39:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:40:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:41:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:42:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:43:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:44:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:45:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:46:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:47:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:48:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:49:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:50:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:51:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:52:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:53:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:54:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:55:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:56:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:57:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:58:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-30 23:59:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
2013-05-31 00:00:25,ctrl,ctrl,ctrl,ctrl,ctrl,notSD
